,seed,lr_strategy,loss,categorical_accuracy,categorical_crossentropy
0,0,0.001,1.2633521556854248,0.617900013923645,1.2633521556854248
1,1,0.001,1.352966547012329,0.6238999962806702,1.352966547012329
2,2,0.001,1.7183938026428223,0.6373000144958496,1.7183938026428223
3,3,0.001,1.8534033298492432,0.636900007724762,1.8534033298492432
4,4,0.001,1.931584358215332,0.6553999781608582,1.931584358215332
5,5,0.001,1.2728525400161743,0.6241999864578247,1.2728525400161743
6,6,0.001,1.9403599500656128,0.6585999727249146,1.9403599500656128
7,7,0.001,2.7314484119415283,0.6445000171661377,2.7314484119415283
8,8,0.001,2.020442247390747,0.6032999753952026,2.020442247390747
9,9,0.001,1.235376238822937,0.6376000046730042,1.235376238822937
10,0,0.0001,1.3275842666625977,0.6327999830245972,1.3275842666625977
11,1,0.0001,1.3566405773162842,0.6258999705314636,1.3566405773162842
12,2,0.0001,1.3380496501922607,0.6191999912261963,1.3380496501922607
13,3,0.0001,1.356951355934143,0.6255999803543091,1.356951355934143
14,4,0.0001,1.3355388641357422,0.6245999932289124,1.3355388641357422
15,5,0.0001,1.7905462980270386,0.6287999749183655,1.7905462980270386
16,6,0.0001,1.3920583724975586,0.6292999982833862,1.3920583724975586
17,7,0.0001,2.0557098388671875,0.6212999820709229,2.0557098388671875
18,8,0.0001,1.3073182106018066,0.633899986743927,1.3073182106018066
19,9,0.0001,1.179478645324707,0.6301000118255615,1.179478645324707
20,0,0.00001,1.2277262210845947,0.6050000190734863,1.2277262210845947
21,1,0.00001,1.215172529220581,0.5888000130653381,1.215172529220581
22,2,0.00001,1.2272716760635376,0.5824000239372253,1.2272716760635376
23,3,0.00001,1.2292828559875488,0.5859000086784363,1.2292828559875488
24,4,0.00001,1.2207589149475098,0.597000002861023,1.2207589149475098
25,5,0.00001,1.1954582929611206,0.6184999942779541,1.1954582929611206
26,6,0.00001,1.2124662399291992,0.6035000085830688,1.2124662399291992
27,7,0.00001,1.242370843887329,0.580299973487854,1.242370843887329
28,8,0.00001,1.1901134252548218,0.6154999732971191,1.1901134252548218
29,9,0.00001,1.1852458715438843,0.6144000291824341,1.1852458715438843
30,0,default+scheduler,3.4825944900512695,0.6208999752998352,3.4825944900512695
31,1,default+scheduler,2.656355381011963,0.6563000082969666,2.656355381011963
32,2,default+scheduler,2.9512040615081787,0.6453999876976013,2.9512040615081787
33,3,default+scheduler,3.278347969055176,0.6462000012397766,3.278347969055176
34,4,default+scheduler,2.820671558380127,0.6651999950408936,2.820671558380127
35,5,default+scheduler,2.8940505981445312,0.6284999847412109,2.8940505981445312
36,6,default+scheduler,2.5875487327575684,0.6692000031471252,2.5875487327575684
37,7,default+scheduler,2.9276859760284424,0.6308000087738037,2.9276859760284424
38,8,default+scheduler,2.7904133796691895,0.6438000202178955,2.7904133796691895
39,9,default+scheduler,2.997769594192505,0.646399974822998,2.997769594192505
