,seed,regularizer,loss,categorical_accuracy,categorical_crossentropy
0,0,L1,0.5784016847610474,0.9090999960899353,0.29728764295578003
1,1,L1,0.5870500206947327,0.9120000004768372,0.2901109755039215
2,2,L1,0.5456891059875488,0.9107999801635742,0.28785252571105957
3,3,L1,0.5729992389678955,0.9075999855995178,0.2927280068397522
4,4,L1,6.584912300109863,0.8417999744415283,1.0207812786102295
5,5,L1,0.6917644143104553,0.9089000225067139,0.29827868938446045
6,6,L1,3.2563302516937256,0.8705999851226807,0.4043688178062439
7,7,L1,5.626774311065674,0.8467000126838684,0.4686594307422638
8,8,L1,5.560281276702881,0.8501999974250793,0.442169189453125
9,9,L1,5.577077865600586,0.8468999862670898,0.4649529755115509
10,0,L2,0.32439902424812317,0.9175000190734863,0.253313273191452
11,1,L2,0.3281536400318146,0.9182999730110168,0.26219606399536133
12,2,L2,0.32818150520324707,0.9197999835014343,0.256696879863739
13,3,L2,0.33858522772789,0.9157999753952026,0.25967809557914734
14,4,L2,0.35526666045188904,0.9110999703407288,0.26525506377220154
15,5,L2,0.4731626510620117,0.8877999782562256,0.3211389183998108
16,6,L2,0.3760635256767273,0.9079999923706055,0.2789600193500519
17,7,L2,0.32259488105773926,0.9190000295639038,0.25342291593551636
18,8,L2,0.37463268637657166,0.907800018787384,0.27243250608444214
19,9,L2,0.3757297992706299,0.9059000015258789,0.27526840567588806
20,0,L1L2,0.6197559237480164,0.9068999886512756,0.31475648283958435
21,1,L1L2,0.6166513562202454,0.9093999862670898,0.31304800510406494
22,2,L1L2,0.6076992154121399,0.909500002861023,0.29658252000808716
23,3,L1L2,6.109180927276611,0.8296999931335449,0.6630998253822327
24,4,L1L2,0.7272582054138184,0.9039000272750854,0.3126791715621948
25,5,L1L2,3.0898611545562744,0.8720999956130981,0.4132673442363739
26,6,L1L2,0.6091737151145935,0.9063000082969666,0.31251534819602966
27,7,L1L2,5.693675994873047,0.8460000157356262,0.49165937304496765
28,8,L1L2,3.337853193283081,0.858299970626831,0.46069642901420593
29,9,L1L2,0.6900879740715027,0.909600019454956,0.2974112927913666
