,seed,transformation,loss,categorical_crossentropy,categorical_accuracy
0,0,flip,0.3151172995567322,0.3151172995567322,0.9343000054359436
1,1,flip,0.3372066617012024,0.3372066617012024,0.9355000257492065
2,2,flip,0.35134950280189514,0.35134950280189514,0.9351000189781189
3,3,flip,2.5795958042144775,2.5795958042144775,0.572700023651123
4,4,flip,2.969935178756714,2.969935178756714,0.5435000061988831
5,5,flip,2.3799519538879395,2.3799519538879395,0.5856000185012817
6,6,flip,0.3495655655860901,0.3495655655860901,0.9333999752998352
7,7,flip,2.7763092517852783,2.7763092517852783,0.5541999936103821
8,8,flip,2.9798312187194824,2.9798312187194824,0.5687999725341797
9,9,flip,2.809735059738159,2.809735059738159,0.5770000219345093
10,0,rotation,0.2816442847251892,0.2816442847251892,0.9144999980926514
11,1,rotation,0.28010591864585876,0.28010591864585876,0.911300003528595
12,2,rotation,0.31602516770362854,0.31602516770362854,0.9031000137329102
13,3,rotation,0.2724747657775879,0.2724747657775879,0.9143000245094299
14,4,rotation,0.33568504452705383,0.33568504452705383,0.8888999819755554
15,5,rotation,0.29241126775741577,0.29241126775741577,0.9107999801635742
16,6,rotation,0.315107136964798,0.315107136964798,0.8931000232696533
17,7,rotation,0.28642764687538147,0.28642764687538147,0.9082000255584717
18,8,rotation,0.2995125353336334,0.2995125353336334,0.9172999858856201
19,9,rotation,0.28901776671409607,0.28901776671409607,0.9154000282287598
20,0,crop,0.3356277048587799,0.3356277048587799,0.9230999946594238
21,1,crop,0.2896348536014557,0.2896348536014557,0.9280999898910522
22,2,crop,0.3156319260597229,0.3156319260597229,0.9251000285148621
23,3,crop,0.25122523307800293,0.25122523307800293,0.9225999712944031
24,4,crop,0.25444212555885315,0.25444212555885315,0.932200014591217
25,5,crop,0.3225899934768677,0.3225899934768677,0.9257000088691711
26,6,crop,0.3177897334098816,0.3177897334098816,0.9261999726295471
27,7,crop,0.30294734239578247,0.30294734239578247,0.9176999926567078
28,8,crop,0.30653902888298035,0.30653902888298035,0.9279000163078308
29,9,crop,0.31063035130500793,0.31063035130500793,0.919700026512146
