,seed,loss,categorical_accuracy,categorical_crossentropy
0,0,0.6280175447463989,0.8849999904632568,0.6280175447463989
1,1,0.6242390871047974,0.8860999941825867,0.6242390871047974
2,2,0.6098046898841858,0.8906999826431274,0.6098046898841858
3,3,0.6011877655982971,0.8878999948501587,0.6011877655982971
4,4,0.6294565200805664,0.8851000070571899,0.6294565200805664
5,5,0.6907711625099182,0.873199999332428,0.6907711625099182
6,6,0.6086593270301819,0.8906999826431274,0.6086593270301819
7,7,0.6004453301429749,0.8862000107765198,0.6004453301429749
8,8,0.6150497198104858,0.887499988079071,0.6150497198104858
9,9,0.5853642225265503,0.8860999941825867,0.5853642225265503
